Date,City,State,AreaType,School Type,Fatalities,Wounded,Month,Year,Day of Week,Region,Severity
3/27/1990,Brooklyn,New York,urban,College,0,1,March,1990,Tuesday,Northeast,Low
5/20/1990,Centerville,Tennessee,suburban,High School,1,Unknown,May,1990,Sunday,South,Low
8/26/1990,Las Vegas,Nevada,urban,High School,1,Unknown,August,1990,Sunday,West,Low
9/11/1990,San Antonio,Texas,urban,High School,0,3,September,1990,Tuesday,South,Medium
1/8/1991,Richardson,Texas,urban,High School,0,Unknown,January,1991,Tuesday,South,Low
2/6/1991,Donna,Texas,suburban,High School,1,0,February,1991,Wednesday,South,Low
4/23/1991,Compton,California,urban,Middle School,1,0,April,1991,Tuesday,West,Low
9/18/1991,Crosby,Texas,suburban,High School,1,0,September,1991,Wednesday,South,Low
10/8/1991,Bronx,New York,urban,High School,1,Unknown,October,1991,Tuesday,Northeast,Low
11/1/1991,Iowa City,Iowa,urban,College,6,1,November,1991,Friday,Midwest,High
11/14/1991,Houston,Texas,urban,High School,0,Unknown,November,1991,Thursday,South,Low
11/25/1991,Brooklyn,New York,urban,High School,1,0,November,1991,Monday,Northeast,Low
12/12/1991,Kent,Ohio,suburban,College,1,0,December,1991,Thursday,Midwest,Low
1/29/1992,Kent,Ohio,suburban,College,0,1,January,1992,Wednesday,Midwest,Low
2/26/1992,Brooklyn,New York,urban,High School,2,0,February,1992,Wednesday,Northeast,Low
5/1/1992,Olivehurst,California,rural,High School,3,10,May,1992,Friday,West,High
5/14/1992,Napa,California,urban,Middle School,0,Unknown,May,1992,Thursday,West,Low
9/11/1992,Lincoln,Texas,urban,High School,0,Unknown,September,1992,Friday,South,Low
10/12/1992,Lincoln,Nebraska,urban,College,0,Unknown,October,1992,Monday,Midwest,Low
10/12/1992,Tucson,Arizona,urban,High School,1,Unknown,October,1992,Monday,West,Low
10/19/1992,The Bronx,New York,urban,High School,0,3,October,1992,Monday,Northeast,Medium
11/4/1992,Detroit,Michigan,urban,High School,0,11,November,1992,Wednesday,Midwest,High
11/10/1992,Chicago,Illinois,urban,Elementry School,0,Unknown,November,1992,Tuesday,Midwest,Low
11/13/1992,Houston,Texas,urban,High School,1,Unknown,November,1992,Friday,South,Low
11/16/1992,Birmingham,Alabama,urban,High School,1,Unknown,November,1992,Monday,South,Low
11/20/1992,Chicago,Illinois,urban,High School,1,Unknown,November,1992,Friday,Midwest,Low
11/23/1992,Buffalo,New York,urban,High School,0,Unknown,November,1992,Monday,Northeast,Low
12/3/1992,Chicago,Illinois,urban,Elementry School,1,Unknown,December,1992,Thursday,Midwest,Low
12/14/1992,Great Barrington,Massachusetts,rural,College,2,4,December,1992,Monday,Northeast,High
1/6/1993,Brentwood,New York,suburban,High School,0,1,January,1993,Wednesday,Northeast,Low
1/8/1993,Kinzers,Pennsylvania,rural,High School,1,Unknown,January,1993,Friday,Northeast,Low
1/12/1993,Miami,Florida,urban,High School,1,Unknown,January,1993,Tuesday,South,Low
1/18/1993,Grayson,Kentucky,rural,High School,2,0,January,1993,Monday,South,Low
1/21/1993,Los Angeles,California,urban,High School,1,Unknown,January,1993,Thursday,West,Low
2/1/1993,Redmond,Washington,urban,Middle School,1,Unknown,February,1993,Monday,West,Low
2/1/1993,Amityville,New York,suburban,High School,1,Unknown,February,1993,Monday,Northeast,Low
2/4/1993,Clayton County,Georgia,urban,High School,1,Unknown,February,1993,Thursday,South,Low
2/8/1993,Middle River,Minnesota,rural,Middle School,1,Unknown,February,1993,Monday,Midwest,Low
2/8/1993,Washington DC,District of Columbia,urban,High School,1,Unknown,February,1993,Monday,South,Low
2/18/1993,Dallas,Texas,urban,High School,1,Unknown,February,1993,Thursday,South,Low
2/22/1993,Los Angeles,California,urban,High School,1,0,February,1993,Monday,West,Low
2/26/1993,Gloucester,Massachusetts,suburban,High School,0,Unknown,February,1993,Friday,Northeast,Low
3/18/1993,Harlem,Georgia,suburban,High School,1,Unknown,March,1993,Thursday,South,Low
3/25/1993,St. Louis,Missouri,urban,High School,1,Unknown,March,1993,Thursday,Midwest,Low
4/3/1993,Sacramento,California,urban,High School,1,Unknown,April,1993,Saturday,West,Low
4/14/1993,Irving,Texas,urban,High School,1,Unknown,April,1993,Wednesday,South,Low
4/15/1993,Acushnet,Massachusetts,suburban,Middle School,1,0,April,1993,Thursday,Northeast,Low
4/16/1993,Sacramento,California,urban,High School,1,Unknown,April,1993,Friday,West,Low
4/26/1993,Raleigh,North Carolina,urban,High School,1,Unknown,April,1993,Monday,South,Low
5/14/1993,Irving,Texas,urban,High School,1,0,May,1993,Friday,South,Low
5/24/1993,Red Hill,Pennsylvania,rural,High School,1,Unknown,May,1993,Monday,Northeast,Low
5/24/1993,Pennsburg,Pennsylvania,rural,High School,1,0,May,1993,Monday,Northeast,Low
5/27/1993,New Orleans,Louisiana,urban,High School,1,Unknown,May,1993,Thursday,South,Low
7/8/1993,Ogden,Utah,urban,College,1,Unknown,July,1993,Thursday,West,Low
8/31/1993,Atlanta,Georgia,urban,High School,1,Unknown,August,1993,Tuesday,South,Low
9/2/1993,Dallas,Texas,urban,High School,1,Unknown,September,1993,Thursday,South,Low
9/17/1993,Sheridan,Wyoming,rural,Middle School,1,4,September,1993,Friday,West,Medium
9/18/1993,Sheridan,Wyoming,suburban,Middle School,1,Unknown,September,1993,Saturday,West,Low
10/12/1993,New Castle,Delaware,suburban,High School,1,Unknown,October,1993,Tuesday,South,Low
10/14/1993,Detroit,Michigan,urban,High School,1,Unknown,October,1993,Thursday,Midwest,Low
11/1/1993,Chicago,Illinois,urban,High School,1,Unknown,November,1993,Monday,Midwest,Low
11/4/1993,Jacksonville,Florida,urban,High School,1,Unknown,November,1993,Thursday,South,Low
11/4/1993,New Britain,Connecticut,urban,High School,1,0,November,1993,Thursday,Northeast,Low
11/5/1993,Bay Springs,Mississippi,rural,High School,1,Unknown,November,1993,Friday,South,Low
11/29/1993,Kansas City,Missouri,urban,High School,1,Unknown,November,1993,Monday,Midwest,Low
12/1/1993,Wauwatosa,Wisconsin,suburban,High School,1,0,December,1993,Wednesday,Midwest,Low
12/8/1993,Savannah,Georgia,urban,High School,1,Unknown,December,1993,Wednesday,South,Low
12/17/1993,Chelsea,Michigan,suburban,High School,1,Unknown,December,1993,Friday,Midwest,Low
1/20/1994,Kennard,Texas,rural,High School,0,Unknown,January,1994,Thursday,South,Low
1/20/1994,Hacienda Heights,California,urban,High School,1,Unknown,January,1994,Thursday,West,Low
1/24/1994,Columbia,South Carolina,urban,High School,1,0,January,1994,Monday,South,Low
1/31/1994,Seattle,Washington,urban,Middle School,1,0,January,1994,Monday,West,Low
2/8/1994,Detroit,Michigan,urban,High School,1,Unknown,February,1994,Tuesday,Midwest,Low
2/14/1994,Belmont,California,suburban,High School,1,Unknown,February,1994,Monday,West,Low
2/18/1994,Spartanburg,South Carolina,suburban,High School,0,1,February,1994,Friday,South,Low
3/1/1994,Boonville,Missouri,rural,High School,2,0,March,1994,Tuesday,Midwest,Low
3/15/1994,Charleston,South Carolina,urban,High School,1,Unknown,March,1994,Tuesday,South,Low
3/22/1994,Riveria Beach,Florida,urban,Middle School,0,Unknown,March,1994,Tuesday,South,Low
3/23/1994,Seattle,Washington,urban,High School,1,Unknown,March,1994,Wednesday,West,Low
3/25/1994,Woodstock,Georgia,suburban,High School,0,Unknown,March,1994,Friday,South,Low
4/12/1994,Butte,Montana,rural,Elementry School,1,0,April,1994,Tuesday,West,Low
4/13/1994,Los Angeles,California,urban,Elementry School,0,Unknown,April,1994,Wednesday,West,Low
4/21/1994,Nashville,Tennessee,urban,Middle School,1,0,April,1994,Thursday,South,Low
5/2/1994,North Miami,Florida,suburban,High School,1,Unknown,May,1994,Monday,South,Low
5/25/1994,Union,Kentucky,suburban,High School,4,Unknown,May,1994,Wednesday,South,Medium
7/25/1994,Ottumwa,Iowa,suburban,High School,1,Unknown,July,1994,Monday,Midwest,Low
9/7/1994,Hollywood,California,urban,High School,1,Unknown,September,1994,Wednesday,West,Low
10/12/1994,Greensboro,North Carolina,urban,High School,1,1,October,1994,Wednesday,South,Low
10/17/1994,Chicago,Illinois,urban,High School,0,1,October,1994,Monday,Midwest,Low
11/5/1994,San Leandro,California,urban,Elementry School,1,Unknown,November,1994,Saturday,West,Low
11/7/1994,Wickliffe,Ohio,suburban,Middle School,1,4,November,1994,Monday,Midwest,Medium
11/15/1994,Tacoma,Washington,urban,High School,1,Unknown,November,1994,Tuesday,West,Low
12/14/1994,Albany,New York,urban,College,0,1,December,1994,Wednesday,Northeast,Low
1/5/1995,Washington DC,District of Columbia,urban,High School,1,Unknown,January,1995,Thursday,South,Low
1/10/1995,Palm Beach Gardens,Florida,suburban,High School,0,Unknown,January,1995,Tuesday,South,Low
1/12/1995,Seattle,Washington,urban,High School,0,2,January,1995,Thursday,West,Low
1/23/1995,Redlands,California,urban,Middle School,1,Unknown,January,1995,Monday,West,Low
1/26/1995,Chapel Hill,North Carolina,urban,College,2,Unknown,January,1995,Thursday,South,Low
2/2/1995,Long Beach,California,urban,High School,1,Unknown,February,1995,Thursday,West,Low
8/29/1995,Laredo,Texas,urban,Middle School,1,Unknown,August,1995,Tuesday,South,Low
9/12/1995,Memphis,Tennessee,urban,High School,1,Unknown,September,1995,Tuesday,South,Low
9/14/1995,Olathe,Kansas,urban,High School,2,Unknown,September,1995,Thursday,Midwest,Low
9/29/1995,Tavares,Florida,suburban,Middle School,1,0,September,1995,Friday,South,Low
10/12/1995,Blackville,South Carolina,rural,High School,2,1,October,1995,Thursday,South,Medium
11/15/1995,Lynnville,Tennessee,rural,High School,2,1,November,1995,Wednesday,South,Medium
11/28/1995,queens,New York,urban,High School,1,Unknown,November,1995,Tuesday,Northeast,Low
1/19/1996,Washington,District of Columbia,urban,High School,1,0,January,1996,Friday,South,Low
1/26/1996,memphis,Tennessee,urban,High School,1,Unknown,January,1996,Friday,South,Low
2/2/1996,Moses Lake,Washington,suburban,Middle School,3,1,February,1996,Friday,West,Medium
2/8/1996,Palo Alto,California,urban,High School,1,Unknown,February,1996,Thursday,West,Low
2/29/1996,St. Louis,Missouri,urban,High School,1,1,February,1996,Thursday,Midwest,Low
3/11/1996,New London,North Carolina,rural,High School,1,Unknown,March,1996,Monday,South,Low
4/11/1996,Talledega,Alabama,suburban,High School,1,Unknown,April,1996,Thursday,South,Low
6/4/1996,Hemet,California,urban,High School,1,Unknown,June,1996,Tuesday,West,Low
8/15/1996,San Diego,California,urban,College,3,0,August,1996,Thursday,West,Medium
8/26/1996,San Antonio,Texas,urban,College,1,Unknown,August,1996,Monday,South,Low
9/17/1996,State College,Pennsylvania,suburban,College,1,2,September,1996,Tuesday,Northeast,Medium
9/25/1996,Scottdale,Georgia,suburban,High School,1,Unknown,September,1996,Wednesday,South,Low
9/25/1996,Decatur,Georgia,suburban,High School,1,2,September,1996,Wednesday,South,Medium
10/2/1996,Philadelphia,Pennsylvania,urban,Elementry School,2,Unknown,October,1996,Wednesday,Northeast,Low
10/4/1996,Playa del Rey,California,suburban,High School,1,Unknown,October,1996,Friday,West,Low
10/9/1996,Sherwood,Arkansas,suburban,High School,1,0,October,1996,Wednesday,South,Low
10/13/1996,St. Louis,Missouri,urban,High School,1,Unknown,October,1996,Sunday,Midwest,Low
10/16/1996,West Lafayette,Indiana,suburban,College,1,Unknown,October,1996,Wednesday,Midwest,Low
11/27/1996,Sacramento,California,urban,High School,1,Unknown,November,1996,Wednesday,West,Low
1/11/1997,Brooklyn,New York,urban,High School,1,Unknown,January,1997,Saturday,Northeast,Low
1/27/1997,West Palm Beach,Florida,urban,Middle School,1,0,January,1997,Monday,South,Low
1/31/1997,Tulsa,Oklahoma,urban,High School,1,Unknown,January,1997,Friday,South,Low
2/19/1997,Bethel,Alaska,rural,High School,2,2,February,1997,Wednesday,West,Medium
2/20/1997,Jacksonville,Florida,urban,High School,1,Unknown,February,1997,Thursday,South,Low
3/18/1997,Detroit,Michigan,urban,High School,1,Unknown,March,1997,Tuesday,Midwest,Low
10/1/1997,Pearl,Mississippi,suburban,High School,3,7,October,1997,Wednesday,South,High
10/14/1997,Garland,Texas,urban,High School,1,Unknown,October,1997,Tuesday,South,Low
10/15/1997,Palmetto,Florida,suburban,Middle School,0,1,October,1997,Wednesday,South,Low
10/22/1997,Norwalk,California,urban,High School,2,Unknown,October,1997,Wednesday,West,Low
11/13/1997,Sacramento,California,urban,Elementry School,1,Unknown,November,1997,Thursday,West,Low
12/1/1997,West Paducah,Kentucky,rural,High School,3,5,December,1997,Monday,South,High
12/15/1997,Stamps,Arkansas,rural,High School,0,2,December,1997,Monday,South,Low
2/25/1998,Reed City,Michigan,rural,High School,1,Unknown,February,1998,Wednesday,Midwest,Low
3/1/1998,Philadelphia,Pennsylvania,urban,College,1,3,March,1998,Sunday,Northeast,Medium
3/24/1998,Jonesboro,Arkansas,urban,Middle School,5,Unknown,March,1998,Tuesday,South,Medium
3/24/1998,Craighead County,Arkansas,rural,Middle School,5,10,March,1998,Tuesday,South,High
3/25/1998,Coldwater,Michigan,suburban,High School,1,Unknown,March,1998,Wednesday,Midwest,Low
3/30/1998,Chapel Hill,North Carolina,urban,Middle School,0,Unknown,March,1998,Monday,South,Low
4/24/1998,Edinboro,Pennsylvania,rural,Middle School,1,3,April,1998,Friday,Northeast,Medium
4/28/1998,Pomona,California,urban,Elementry School,2,Unknown,April,1998,Tuesday,West,Low
5/1/1998,Buffalo,New York,urban,Elementry School,1,Unknown,May,1998,Friday,Northeast,Low
5/19/1998,Fayetteville,Tennessee,rural,High School,1,0,May,1998,Tuesday,South,Low
5/21/1998,Springfield,Oregon,urban,High School,4,Unknown,May,1998,Thursday,West,Medium
5/21/1998,Rialto,California,urban,High School,1,Unknown,May,1998,Thursday,West,Low
5/21/1998,Springfield,Oregon,suburban,High School,4,23,May,1998,Thursday,West,High
5/27/1998,Pasadena,California,urban,Middle School,0,Unknown,May,1998,Wednesday,West,Low
5/29/1998,Fort Lauderdale,Florida,urban,High School,2,Unknown,May,1998,Friday,South,Low
6/15/1998,Richmond,Virginia,urban,High School,0,2,June,1998,Monday,South,Low
9/4/1998,San Bernardino,California,urban,College,2,Unknown,September,1998,Friday,West,Low
9/12/1998,Glendale,California,urban,High School,0,Unknown,September,1998,Saturday,West,Low
12/10/1998,Detroit,Michigan,urban,College,1,0,December,1998,Thursday,Midwest,Low
1/8/1999,Carrollton,Georgia,suburban,High School,1,1,January,1999,Friday,South,Low
1/21/1999,North Richland Hills,Texas,urban,High School,1,Unknown,January,1999,Thursday,South,Low
2/11/1999,Elgin,Illinois,urban,High School,0,Unknown,February,1999,Thursday,Midwest,Low
4/16/1999,Notus,Idaho,rural,High School,0,0,April,1999,Friday,West,Low
4/20/1999,Littleton,Colorado,suburban,High School,15,21,April,1999,Tuesday,West,High
4/23/1999,Atlanta,Georgia,urban,Middle School,1,Unknown,April,1999,Friday,South,Low
5/20/1999,Conyers,Georgia,suburban,High School,0,6,May,1999,Thursday,South,High
8/25/1999,Monticello,Georgia,suburban,High School,1,Unknown,August,1999,Wednesday,South,Low
9/7/1999,Plano,Texas,urban,High School,1,Unknown,September,1999,Tuesday,South,Low
9/9/1999,San Jose,California,urban,High School,1,Unknown,September,1999,Thursday,West,Low
11/19/1999,Deming,New Mexico,rural,Middle School,1,0,November,1999,Friday,West,Low
12/6/1999,Fort Gibson,Oklahoma,rural,Middle School,0,6,December,1999,Monday,South,High
1/19/2000,New Port Richey,Florida,suburban,High School,0,Unknown,January,2000,Wednesday,South,Low
2/29/2000,Flint,Michigan,urban,Elementry School,1,0,February,2000,Tuesday,Midwest,Low
5/10/2000,Sierra Vista,Arizona,urban,Elementry School,2,Unknown,May,2000,Wednesday,West,Low
5/26/2000,Lake Worth,Florida,suburban,Middle School,1,0,May,2000,Friday,South,Low
6/28/2000,Seattle,Washington,urban,College,2,Unknown,June,2000,Wednesday,West,Low
7/26/2000,Canton,Ohio,urban,High School,1,Unknown,July,2000,Wednesday,Midwest,Low
8/28/2000,Fayetteville,Arkansas,urban,College,2,0,August,2000,Monday,South,Low
9/5/2000,Bidwell,Ohio,suburban,Elementry School,2,Unknown,September,2000,Tuesday,Midwest,Low
9/26/2000,New Orleans,Louisiana,urban,High School,0,2,September,2000,Tuesday,South,Low
10/23/2000,Los Angeles,California,urban,College,1,Unknown,October,2000,Monday,West,Low
10/26/2000,Brooklyn,New York,urban,High School,1,Unknown,October,2000,Thursday,Northeast,Low
10/27/2000,Memphis,Tennessee,urban,High School,1,Unknown,October,2000,Friday,South,Low
12/1/2000,Granada Hills,California,urban,High School,0,Unknown,December,2000,Friday,West,Low
12/1/2000,San Diego,California,urban,High School,0,1,December,2000,Friday,West,Low
1/10/2001,Oxnard,California,urban,High School,1,Unknown,January,2001,Wednesday,West,Low
1/17/2001,Baltimore,Maryland,urban,High School,1,Unknown,January,2001,Wednesday,South,Low
1/29/2001,Arlington,Texas,urban,Middle School,1,Unknown,January,2001,Monday,South,Low
3/2/2001,San Diego,California,urban,High School,0,Unknown,March,2001,Friday,West,Low
3/5/2001,Santee,California,suburban,High School,2,13,March,2001,Monday,West,High
3/7/2001,Williamsport,Pennsylvania,suburban,High School,0,1,March,2001,Wednesday,Northeast,Low
3/22/2001,El Cajon,California,suburban,High School,0,5,March,2001,Thursday,West,Medium
3/30/2001,Gary,Indiana,urban,High School,1,0,March,2001,Friday,Midwest,Low
4/3/2001,Klein,Texas,urban,Middle School,0,Unknown,April,2001,Tuesday,South,Low
4/25/2001,Cleveland,Ohio,urban,High School,1,Unknown,April,2001,Wednesday,Midwest,Low
5/15/2001,Ennis,Texas,suburban,High School,0,Unknown,May,2001,Tuesday,South,Low
5/16/2001,Parkland,Washington,suburban,College,2,0,May,2001,Wednesday,West,Low
5/17/2001,Pierce County,Washington,urban,College,1,Unknown,May,2001,Thursday,West,Low
10/12/2001,Taylorsville,Utah,urban,High School,0,Unknown,October,2001,Friday,West,Low
11/12/2001,Caro,Michigan,suburban,High School,0,Unknown,November,2001,Monday,Midwest,Low
1/15/2002,New York City,New York,urban,High School,0,2,January,2002,Tuesday,Northeast,Low
1/16/2002,Grundy,Virginia,rural,College,3,3,January,2002,Wednesday,South,High
2/20/2002,Milwaukee,Wisconsin,urban,High School,1,0,February,2002,Wednesday,Midwest,Low
6/11/2002,Conception,Missouri,rural,College,3,2,June,2002,Tuesday,Midwest,Medium
7/26/2002,Charlotte,North Carolina,urban,Middle School,1,Unknown,July,2002,Friday,South,Low
10/4/2002,San Antonio,Texas,urban,Middle School,1,Unknown,October,2002,Friday,South,Low
10/7/2002,Bowie,Maryland,suburban,Middle School,0,1,October,2002,Monday,South,Low
10/28/2002,Tucson,Arizona,urban,College,4,0,October,2002,Monday,West,Medium
10/29/2002,Jersey City,New Jersey,urban,High School,0,1,October,2002,Tuesday,Northeast,Low
11/7/2002,Liberty,Missouri,suburban,Elementry School,1,Unknown,November,2002,Thursday,Midwest,Low
12/16/2002,Chicago,Illinois,urban,High School,1,Unknown,December,2002,Monday,Midwest,Low
3/23/2003,Meridian,Mississippi,suburban,High School,0,Unknown,March,2003,Sunday,South,Low
4/10/2003,Walnut,California,suburban,High School,0,Unknown,April,2003,Thursday,West,Low
4/14/2003,New Orleans,Louisiana,urban,High School,1,3,April,2003,Monday,South,Medium
4/17/2003,Addison,Texas,suburban,Elementry School,1,Unknown,April,2003,Thursday,South,Low
4/24/2003,Red Lion,Pennsylvania,rural,High School,2,0,April,2003,Thursday,Northeast,Low
5/9/2003,Cleveland,Ohio,urban,College,1,2,May,2003,Friday,Midwest,Medium
5/13/2003,Johnstown,Pennsylvania,urban,High School,1,Unknown,May,2003,Tuesday,Northeast,Low
6/4/2003,Wellsboro,Pennsylvania,suburban,Middle School,0,Unknown,June,2003,Wednesday,Northeast,Low
7/15/2003,Dallas,Texas,urban,High School,0,Unknown,July,2003,Tuesday,South,Low
9/24/2003,Cold Spring,Minnesota,rural,High School,2,0,September,2003,Wednesday,Midwest,Low
10/30/2003,Washington,District of Columbia,urban,High School,1,Unknown,October,2003,Thursday,South,Low
11/7/2003,Sugar Land,Texas,urban,High School,1,Unknown,November,2003,Friday,South,Low
1/21/2004,Henderson,Nevada,urban,Elementry School,1,Unknown,January,2004,Wednesday,West,Low
2/2/2004,Washington,District of Columbia,urban,High School,1,0,February,2004,Monday,South,Low
2/9/2004,East Greenbush,New York,suburban,High School,0,1,February,2004,Monday,Northeast,Low
2/11/2004,Philadelphia,Pennsylvania,urban,Elementry School,1,Unknown,February,2004,Wednesday,Northeast,Low
3/17/2004,Joyce,Washington,rural,Middle School,0,Unknown,March,2004,Wednesday,West,Low
5/7/2004,Randallstown,Maryland,suburban,High School,0,4,May,2004,Friday,South,Medium
5/24/2004,Salt Lake City,Utah,urban,High School,1,Unknown,May,2004,Monday,West,Low
6/1/2004,St Croix,Virgin Islands,urban,High School,1,Unknown,June,2004,Tuesday,South,Low
8/30/2004,Maywood,Illinois,suburban,High School,1,Unknown,August,2004,Monday,Midwest,Low
10/4/2004,Memphis,Tennessee,urban,High School,0,Unknown,October,2004,Monday,South,Low
11/22/2004,Philadelphia,Pennsylvania,urban,High School,1,Unknown,November,2004,Monday,Northeast,Low
12/10/2004,Nine Mile Falls,Washington,suburban,High School,1,Unknown,December,2004,Friday,West,Low
1/6/2005,Philadelphia,Pennsylvania,urban,High School,1,Unknown,January,2005,Thursday,Northeast,Low
2/8/2005,Chicago,Illinois,urban,High School,0,1,February,2005,Tuesday,Midwest,Low
3/2/2005,Dover,Tennessee,rural,High School,1,0,March,2005,Wednesday,South,Low
3/21/2005,Red Lake,Minnesota,rural,High School,10,7,March,2005,Monday,Midwest,High
5/17/2005,Lower Allen Township,Pennsylvania,suburban,Elementry School,1,Unknown,May,2005,Tuesday,Northeast,Low
9/13/2005,Chicago,Illinois,urban,High School,0,1,September,2005,Tuesday,Midwest,Low
